identifiedby_att,probabilidade_corretude
R. Callejas Posada,0.342680356596989
T. G. Yuncker,0.3548407203853136
"Callejas, R",0.37898787339882956
George Azevedo de Queiroz,0.4525316985770853
"Marcusso, GM",0.5031789902637531
"Guimarães, EF",0.5504070339056948
D. Monteiro,0.6401098491370467
"Carvalho-Silva, M",0.6509283432110944
M. Carvalho-Silva,0.6604361439895162
"Machado-Silva, T.",0.9233156912920996
