stateprovince
(Guyane Française)
8 - Potaro-Siparuni
AC
Acre
AL
Alagoas
Alajuela
Alta Paraguay
Altamira
Alto Paraguay
Alto Paraná
AM
Amambay
Amapá
Amapá (Terr.)
Amazonas
Amazonas or Putumayo
Amazônia
Ancash
Angra dos Reis
Antioquia
Antofagasta
Antofagasta (II)
Anzoátegui
AP
Apure
Apurímac
Aragua
Aragua or Carabobo
Arauca
Arequipa
Arima
Asuncion
Atlántico
Atlantida
Atures
Ayacucho
Azuay
Azuay / Cañar
BA
Bagua
Bahia
"BAHIA, BA"
Barima-Waini
Barinas
Bassin de l'Oyapock
Bassin du Maroni
Bassin du Sinnamary
Beni
BOACO
Bogota D.C.
Bolívar
Bongora
Bonito
Boquerón
Boyacá
Brasília
Brokopondo
Brokopondo District
Buenos Aires
Caaguazú
Caazapá
Caballero
Cajamarca
Caldas
Callao
Campeche
Canal Zone
Cañar
Canindeyú
Capitan Mesa
Caquetá
Carabobo
Carchi
cartago
Casanare
Catamarca
Cauca
Cayenne
CE
Ceará
CearÃ¡
Central
Central Demerara
Cerro Largo
Cesar
Chaco
Chiapas
Chimborazo
Chinandega
Chocó
Chuquisaca
Cochabamba
Coclé
Cojedes
ColÃ´mbia
Colón
Commewijne
Concepción
Coppename
Coquimbo
Coquimbo (IV)
Cordillera
Córdoba
Coronie
Corrientes
"Corrientes, Provincia de"
Cotopaxi
Cundinamarca
Cusco
Cuyuni-Mazaruni
Cuyuni-Mazaruni Region
Cuzco
Delta Amacuro
Demerara -Mahaica
Demerara-Mahaica
Departamento de Canindeyu
Departamento de la Cordillera
Departamento de La Paz
Departamento de Pando
Departamento de Paraguari
Departamento de Santa Cruz
Departamento del Alto Parana
Departamento del Amambay
Departamento del Beni
DF
Diego Martin
Districto Federal
Distrito Capital
Distrito Federal
Doumé
E. Berbice-Corentyne
East Berbice
East Berbice-Corentyne
Ekuk
El Beni
El Oro
Enseada del Guayabo
Entre Ríos
ES
Esmeraldas
EspÃ­rito Santo
Espírito Santo
"ESPÍRITO SANTO, ES"
Essequibo
Essequibo Isl-W. Demerara
Essequibo Isl. - West Demerara
Essequibo Islands
Essequibo Islands-West Demerara
Estado Barinas
Estado Não Informado!
Esteli
Falcón
Federal
Formosa
Galápagos
Galapagos Province
GO
Gob. Formosa
Gob. Misiones
GoiÃ¡s
Goias
Granada
Guainía
Guairá
Guanabara
Guanacaste
Guárico
Guaviare
Guayas
Guiana Francesa
Hawai
Heredia
Hidalgo
Huancavelica
Huancayo
Huánuco
Huánuco / Pasco
Huila
Ilha da Trindade
Imbabura
Inini
Itapúa
Jinoteca
Jinotega
Jujuy
Junín
La Guaira
La Guajira
La Libertad
La Paz
La Soledad
Lambayeque
Lara
León
Leticia
Lima
Limarí
Llanquihue
Loja
Loreto
Los Lagos
Los Rios
MA
Madre de Dios
Madriz
Magdalena
Mahaica-Berbice
Maldonado
Manabi
Managua
Manuripi
MaranhÃ£o
Maranhão
Marowijne
Marquesas
Masaya
Matagalpa
Mato Grosso
Mato Grosso do Sul
Maynas
Mazaruni-Potaro
Mérida
Meta
México
MG
Minas Gerais
"MINAS GERAIS, MG"
Minas Gerais.
Miranda
Misiones
Missiones
Monagas
Montevideo
Moquegua
Morona Santiago
Morona-Santiago
Morona-Santiago / Zamora-Chinchipe
MS
MT
Napo
Napo / Pastaza
Napo-Pastaza
Napo-Pastaza [Napo]
Nariño
Nasaya
Ñeembucú
Nickerie
Norte de Santander
North West
North West District
Nueva Esparta
Oaxaca
Ocotepeque
Orellana
Oruro
Otuzco
PA
Pando
Pará
Pará 
ParÃ¡
Paraguarí
Paraíba
Paramaribo
Paraná
Paraná 
ParanÃ¡
Pariacabo
Pasco
Pastaza
Paysandu
PB
PE
Pernambuco
Pernanbuco
PI
Piauí
Pichincha
Pinchincha
Piura
Pomeroon-Supenaam
Port of Spain
Portuguesa
Potaro Siparuni
Potaro-Siparuni
Potosi
PR
Presidente Hayes
Province de Loja
Provincia de Formosa
Provincia de Jujuy
Provincia de Misiones
Provincia de Salta
Provincia de Tucuman
Puno
Puntarenas
Putumayo
Queensland
Quindío
Quito
Regina. Réserve Naturelle des Nouragues
Rio Branco
Rio de Janeiro
Rio de Janriro
Rio Frio
Rio Grade do Norte
Rio Grande do Norte
