country
?
[Brésil]
[Colombie]
[Ecuador]
[Equateur]
[Guyana]
[Guyane française]
[Guyanne française]
[Pérou]
[Venezuela]
|Brasil
América Central
Antilles Guyane
Antilles hollandaises
Argentina
Argentine
Austrália
Bahamas
Bolivia
Bolivie
Brasil
Brasil/Bolivia
Brasilia
Brasill
Brazil
Brésil
British Guiana [Guyana]
British Guyana
Bruxelas
Camarões
Chile
Chili
Cochero
ColÃ´mbia
Colombia
Colombie
Costa Rica
Cuba
Desconhecido
Dominica
Dominican Republic
Ecuador
Equador
Equateur
Equateur et Pérou
Estados Unidos
Fiji
França
French Guiana
French Polynesia
Guatemala
Guiana
Guiana Francesa
Guianas
Guyana
Guyane
Guyane britannique
Guyane française
Haiti
Honduras
Humbaldt
Ile de Pâques
Inadalupa
Jamaica
Juan Fernandez
Mexico
New grenada
Nicaragua
Nouvelle-Grenade
Nouvelle-Grenade [Colombie]
Panamá
Paraguai
Paraguay
Pérou
Peru
Puerto Rico
s.loc.
s/localidade
Surinam
Suriname
Trinidad and Tobago
Uruguai
Uruguay
Venezuela
Zimbabwe
